depth(m)	initial_age(kiloyear)
0.075	2.8
0.085	3.1
0.125	4.2
0.225	7.0
0.275	8.3
0.325	9.7
0.375	11.1
0.425	12.5
0.525	14.3
0.618	15.2
0.633	15.3
0.875	17.6
0.925	18.1
0.975	18.5
1.025	19.0
1.075	19.5
1.125	19.9
1.175	20.5
1.225	21.1
1.275	21.7
1.325	22.3
1.375	22.9
1.575	24.9
1.775	26.8
1.825	27.2
1.875	27.7
1.975	28.7
2.175	30.2
2.225	31.0
2.275	31.7
2.325	32.5
2.375	33.2
2.425	34.0
2.475	34.7
2.525	35.5
2.575	36.2
2.625	37.0
2.925	40.7
3.025	41.9
3.075	42.5
3.125	43.1
3.175	43.6
3.225	44.2
3.275	44.8
3.375	46.3
3.425	47.2
3.475	48.1
3.525	49.1
3.575	50.0
3.625	50.9
3.675	51.8
3.725	52.8
3.775	53.7
3.825	54.6
3.855	55.2
3.875	55.5
3.925	56.5
3.975	57.4
4.025	58.3
4.075	58.7
4.175	59.4
4.425	61.3
4.475	61.7
4.525	62.1
4.575	62.8
4.625	63.5
4.675	64.3
4.725	65.0
4.775	65.8
4.825	66.5
4.875	67.3
4.925	68.9
4.975	70.6
5.045	73.0
5.075	74.0
5.125	75.7
5.155	76.7
5.175	77.3
5.225	79.0
5.275	80.7
5.325	82.3
5.375	84.0
5.425	86.7
5.575	93.8
5.625	95.5
5.675	97.3
5.725	99.1
