depth(m)	initial_age(kiloyear)
0.077	6.4
0.121	9.0
0.129	12.1
0.152	13.3
0.175	14.5
0.199	15.7
0.246	18.1
0.269	19.3
0.292	20.5
0.316	21.7
0.339	22.9
0.362	24.1
0.386	25.6
0.456	30.2
0.479	31.7
0.503	33.2
0.573	37.7
0.586	39.3
0.648	43.8
0.744	49.9
0.817	54.4
0.841	55.9
0.865	57.4
0.889	59.0
0.913	60.6
0.937	62.3
0.961	63.9
0.985	65.6
1.009	67.3
1.033	68.9
1.057	70.6
1.106	73.9
1.13	76.3
1.154	78.8
1.202	83.6
1.226	86.1
1.274	90.9
1.322	95.8
1.37	100.7
1.419	105.5
1.467	110.4
1.515	115.3
1.563	120.1
1.587	122.5
1.635	127.4
1.683	131.5
1.73	134.7
1.778	138.0
1.85	142.9
1.898	146.1
1.969	151.0
2.065	166.3
2.161	181.7
2.256	197.0
2.352	212.3
2.4	220.0
2.447	222.8
2.495	225.6
2.539	228.3
2.608	232.5
2.657	235.3
2.706	238.1
2.755	240.8
2.804	243.6
2.853	246.2
2.902	248.5
3.0	253.1
3.098	257.7
3.196	263.6
3.293	270.8
3.391	277.9
3.44	281.5
3.538	288.7
3.635	295.8
3.731	303.0
3.828	311.0
3.924	319.0
4.021	327.0
4.117	335.0
4.214	340.4
4.31	343.1
4.407	345.8
4.586	351.2
4.681	353.9
4.776	356.6
4.871	359.3
4.966	362.0
5.061	368.4
5.156	374.7
5.251	381.1
5.346	387.5
5.418	392.3
5.513	398.6
5.609	405.0
5.706	411.0
5.802	417.0
5.898	423.0
5.995	427.2
6.091	431.5
6.187	435.7
6.283	439.9
6.38	444.1
6.476	448.4
6.57	452.6
6.641	455.8
6.76	461.0
6.854	464.7
6.949	468.5
7.043	472.3
7.138	476.1
7.233	480.9
7.327	486.8
7.422	492.6
7.514	498.4
7.602	504.3
7.69	510.0
7.778	516.0
7.866	521.8
7.932	526.2
