Depth	d18O
0.25	3.01
0.3	3.65
0.4	4.54
0.45	4.3
0.5	4.44
0.55	4.49
0.6	4.37
0.65	4.56
0.7	4.24
0.75	4.54
0.8	4.44
0.85	4.42
0.9	4.41
0.95	4.04
1.0	4.18
1.05	4.31
1.1	4.22
1.15	3.93
1.25	4.2
1.3	4.04
1.35	4.05
1.4	4.02
1.45	3.94
1.5	3.85
1.55	4.03
1.6	3.78
1.65	3.9
1.7	3.62
1.75	3.56
1.8	3.57
1.85	3.66
1.9	3.42
1.95	3.22
2.0	3.62
2.05	3.37
2.1	3.2
2.15	3.66
2.2	3.44
2.25	3.45
2.3	2.74
2.35	3.32
2.4	3.1
2.45	3.39
2.5	3.38
2.55	2.92
2.6	2.87
2.65	2.77
2.7	2.53
2.75	2.44
2.8	2.67
2.85	3.01
2.9	3.43
2.95	3.79
3.0	2.76
3.1	4.19
3.15	4.44
3.2	4.67
3.25	3.92
3.3	3.87
3.35	4.49
3.4	4.17
3.45	3.9
3.5	3.82
3.55	4.0
3.6	3.27
3.65	3.46
3.7	3.79
3.75	3.95
3.8	3.31
3.85	3.5
3.9	2.99
3.95	2.87
4.0	2.96
4.05	2.73
4.1	3.12
4.15	3.11
4.2	3.06
4.25	3.82
4.3	2.99
4.35	2.63
4.4	3.51
4.5	3.51
4.55	4.38
4.6	3.85
4.65	4.04
4.7	3.91
4.75	3.97
4.8	3.57
4.85	3.2
4.9	3.16
4.95	3.61
5.0	3.62
5.05	2.99
5.1	3.27
5.15	2.98
5.2	2.98
5.25	3.45
5.3	3.27
5.35	3.07
5.4	2.81
5.45	2.55
5.5	2.61
5.55	2.48
5.6	2.62
5.65	2.28
5.85	4.27
5.9	4.32
5.95	3.78
6.05	3.86
6.1	3.74
