depth	d18O
0	-2.48
0.01	-2.611
0.02	-2.622
0.03	-2.68
0.04	-2.546
0.05	-2.604
0.06	-2.428
0.07	-2.158
0.08	-2.463
0.09	-2.388
0.1	-2.486
0.11	-2.413
0.12	-2.173
0.13	-2.258
0.14	-2.345
0.15	-2.418
0.16	-2.261
0.17	-2.517
0.18	-2.06
0.19	-1.955
0.2	-1.629
0.21	-2.137
0.22	-2.185
0.23	-1.932
0.24	-2.163
0.25	-1.694
0.26	-1.54
0.27	-1.357
0.28	-1.404
0.29	-1.193
0.3	-1.293
0.31	-1.218
0.32	-1.248
0.33	-1.268
0.34	-1.075
0.35	-1.316
0.36	-1.374
0.37	-1.34
0.38	-1.318
0.39	-1.146
0.4	-1.229
0.41	-1.244
0.42	-1.242
0.43	-1.296
0.44	-1.187
0.45	-1.198
0.46	-1.316
0.47	-1.592
0.48	-1.366
0.49	-1.293
0.5	-1.449
0.51	-1.365
0.52	-1.377
0.53	-1.607
0.54	-1.505
0.55	-1.443
0.56	-1.693
0.57	-1.469
0.58	-1.412
0.59	-1.344
0.6	-1.315
0.61	-1.557
0.62	-1.556
0.63	-1.347
0.64	-1.379
0.65	-1.298
0.66	-1.482
0.67	-1.745
0.68	-1.421
0.69	-1.493
0.7	-1.517
0.71	-1.612
0.72	-1.487
0.73	-1.49
0.74	-1.661
0.75	-1.552
0.76	-1.45
0.77	-1.583
0.78	-1.563
0.79	-1.724
0.8	-1.596
0.81	-1.661
0.82	-1.561
0.83	-1.779
0.84	-1.726
0.85	-1.576
0.86	-1.688
0.87	-1.835
0.88	-1.583
0.89	-1.626
0.9	-1.641
0.91	-1.583
0.92	-1.762
0.93	-1.327
0.94	-1.849
0.95	-1.662
0.96	-1.68
0.97	-1.859
0.98	-1.411
0.99	-1.804
1	-1.506
1.01	-1.265
1.02	-1.53
1.03	-1.358
1.04	-1.576
1.05	-1.499
1.06	-1.505
1.07	-1.438
1.08	-1.163
1.09	-1.351
1.1	-1.515
1.11	-1.44
1.12	-1.469
1.13	-1.522
1.14	-1.827
1.15	-1.831
1.16	-1.931
1.17	-1.984
1.18	-1.883
1.19	-1.747
1.2	-1.827
1.21	-1.953
1.22	-1.792
1.23	-1.63
1.24	-1.741
1.25	-1.974
1.26	-1.813
1.27	-1.752
1.28	-1.88
1.29	-1.954
1.3	-1.981
1.31	-1.683
1.32	-1.856
1.33	-2.02
1.34	-1.758
1.35	-1.834
1.36	-1.795
1.37	-1.779
1.38	-1.735
1.39	-1.776
1.4	-1.956
1.41	-1.82
1.42	-2.267
1.43	-2.038
1.44	-2.184
1.45	-2.038
1.46	-1.82
1.49	-2.324
1.5	-1.862
1.51	-1.901
1.52	-1.814
1.53	-1.974
1.54	-1.691
1.55	-1.986
1.56	-1.9
1.57	-2.007
