Depth	d18O
16.92	3.1
16.94	3.09
16.96	3.06
16.98	2.83
17.0	3.14
17.02	2.79
17.04	2.81
17.06	2.65
17.08	2.87
17.1	2.77
17.12	2.88
17.14	3.04
17.16	2.95
17.18	3.02
17.2	3.35
17.22	3.2
17.24	3.19
17.26	3.37
17.28	3.4
17.3	3.25
17.32	3.22
17.34	3.09
17.36	2.96
17.38	3.19
17.4	3.29
17.42	2.95
17.44	3.15
17.46	3.14
17.48	3.1
17.5	3.22
17.52	3.01
17.54	3.08
17.56	3.07
17.58	3.12
17.6	3.2
17.62	3.14
17.64	3.18
17.66	3.04
17.68	3.11
17.7	3.02
17.72	2.98
17.74	3.01
17.76	3.02
17.78	2.94
17.8	2.84
17.82	3.05
17.84	2.91
17.86	2.96
17.88	3.06
17.9	2.83
17.92	2.86
17.94	3.06
17.96	2.9
17.98	2.96
18.0	2.78
18.02	2.73
18.04	2.87
18.06	2.88
18.08	2.83
18.1	2.86
18.12	2.86
18.14	2.81
18.16	2.88
18.18	2.74
18.2	2.63
18.22	2.96
18.24	2.95
18.26	2.8
18.28	2.91
18.3	3.03
18.32	3.03
18.34	3.05
18.36	2.9
18.38	3.12
18.4	3.62
18.42	3.74
18.44	3.59
18.46	3.59
18.48	3.57
18.5	3.67
18.52	3.65
18.54	3.65
18.56	3.56
18.58	3.43
18.6	3.37
18.62	3.42
18.64	3.4
18.66	3.29
18.68	3.3
18.7	3.1
18.72	3.25
18.74	3.17
18.76	3.17
18.78	3.14
18.8	3.19
18.82	3.06
18.84	3.03
18.86	3.05
18.88	2.96
18.9	3.04
18.92	2.96
18.94	2.92
18.96	2.9
18.98	2.87
19.0	2.96
19.02	2.94
19.04	2.82
19.06	2.77
19.08	2.86
19.1	2.79
19.12	3.02
19.14	2.93
19.16	2.72
19.18	2.8
19.2	2.84
19.22	2.78
19.24	2.84
19.26	2.62
19.28	2.72
19.3	3.22
19.32	3.02
19.34	3.09
19.36	3.52
19.4	3.81
19.42	2.76
19.44	3.09
19.46	3.74
19.48	3.87
19.52	4.12
19.54	4.1
19.56	4.09
19.58	4.08
19.6	4.02
19.62	4.13
19.64	4.12
19.66	4.11
19.68	4.01
19.7	4.19
19.72	4.19
19.74	3.93
19.76	3.97
19.78	4.01
19.82	4.01
19.84	3.96
19.88	4.2
19.9	3.96
19.92	4.07
19.94	3.89
19.96	3.95
19.98	3.87
20.0	3.85
20.02	3.83
20.04	3.88
20.06	3.93
20.08	3.83
20.1	4.05
20.12	3.93
20.14	3.98
20.16	3.86
20.18	4.06
20.2	3.96
20.22	3.88
20.24	3.99
20.26	3.96
20.28	3.96
20.3	4.13
20.32	3.98
20.34	3.81
20.36	3.85
20.38	3.73
20.4	3.88
20.42	3.81
20.44	3.9
20.46	3.76
20.48	3.9
20.5	3.85
20.52	4.4
20.54	4.08
20.56	4.04
20.58	3.97
20.6	3.91
20.62	4.16
20.64	4.08
20.66	4.21
20.68	3.98
20.7	4.18
20.72	4.07
20.74	4.17
20.76	4.08
20.78	4.23
20.8	4.22
20.82	4.16
20.84	3.85
20.86	4.06
20.88	3.97
20.9	4.02
20.92	4.13
20.94	3.75
20.96	3.92
20.98	3.91
21.0	4.06
21.02	3.86
21.04	3.98
21.06	3.79
21.08	4.0
21.1	3.73
21.12	3.69
21.14	3.43
21.16	3.44
21.18	3.79
21.2	3.5
21.22	3.58
21.24	3.62
21.26	3.74
21.28	3.82
21.3	3.57
21.32	3.5
21.34	3.32
21.36	3.33
21.38	3.37
21.4	3.38
21.42	3.47
21.44	3.43
21.46	3.37
21.48	3.37
21.5	3.35
21.52	3.33
21.54	3.52
21.56	3.07
21.58	3.17
21.6	3.37
21.62	3.0
21.64	3.18
21.66	3.18
21.68	3.27
21.7	3.26
21.72	3.23
21.74	3.29
21.76	3.16
21.78	3.29
21.8	3.34
21.82	3.14
21.84	3.29
21.86	3.26
21.88	3.08
21.9	3.34
21.92	3.15
21.94	3.22
21.96	3.01
21.98	3.49
22.0	3.41
22.02	3.66
22.04	3.9
22.06	3.47
22.08	3.68
22.1	3.54
22.12	3.42
22.14	3.58
22.16	3.69
22.18	3.77
22.2	3.84
22.22	3.77
22.24	3.93
22.26	3.67
22.28	3.74
22.3	3.83
22.32	3.76
22.34	3.65
22.36	3.69
22.38	3.78
22.4	3.83
22.42	3.76
22.44	4.03
22.46	3.59
22.48	3.87
22.5	3.58
