age(kyr) mean(permil) sigma(permil)
0.000000 3.169653 0.131773
1.000000 3.180483 0.127335
2.000000 3.196973 0.128636
3.000000 3.195463 0.130730
4.000000 3.192735 0.133540
5.000000 3.228186 0.137362
6.000000 3.297489 0.145891
7.000000 3.388712 0.168946
8.000000 3.499177 0.207969
9.000000 3.609477 0.235501
10.000000 3.720547 0.230979
11.000000 3.822408 0.210174
12.000000 3.927984 0.193034
13.000000 4.036735 0.181372
14.000000 4.189279 0.169604
15.000000 4.366896 0.157657
16.000000 4.522970 0.153789
17.000000 4.659705 0.147174
18.000000 4.737322 0.135043
19.000000 4.739025 0.128788
20.000000 4.731549 0.125977
21.000000 4.720196 0.118205
22.000000 4.711347 0.113180
23.000000 4.683019 0.113177
24.000000 4.669681 0.112208
25.000000 4.665462 0.111488
26.000000 4.648919 0.118267
27.000000 4.613008 0.133483
28.000000 4.565597 0.144290
29.000000 4.531297 0.144387
30.000000 4.503604 0.137837
31.000000 4.486125 0.131937
32.000000 4.477605 0.128352
33.000000 4.442585 0.122354
34.000000 4.405649 0.112073
35.000000 4.380951 0.103668
36.000000 4.353951 0.101359
37.000000 4.349212 0.107266
38.000000 4.343930 0.120806
39.000000 4.335434 0.134029
40.000000 4.341128 0.139045
41.000000 4.344380 0.135817
42.000000 4.340433 0.130083
43.000000 4.327221 0.124799
44.000000 4.297914 0.119307
45.000000 4.271336 0.113158
46.000000 4.284196 0.107847
47.000000 4.297381 0.106647
48.000000 4.283698 0.109432
49.000000 4.250884 0.113266
50.000000 4.211884 0.113543
51.000000 4.200819 0.110525
52.000000 4.188749 0.107108
53.000000 4.180839 0.108719
54.000000 4.175791 0.113509
55.000000 4.185962 0.119138
56.000000 4.208203 0.124773
57.000000 4.231355 0.129518
58.000000 4.251362 0.134062
59.000000 4.281122 0.136322
60.000000 4.334214 0.134288
61.000000 4.366813 0.127914
62.000000 4.390703 0.120821
63.000000 4.404496 0.116221
64.000000 4.410649 0.115298
65.000000 4.418484 0.117176
66.000000 4.424414 0.120917
67.000000 4.415570 0.125163
68.000000 4.383562 0.129810
69.000000 4.338114 0.135405
70.000000 4.294306 0.141810
71.000000 4.232685 0.147115
72.000000 4.153297 0.149308
73.000000 4.097012 0.147470
74.000000 4.060266 0.143865
75.000000 4.025949 0.140333
76.000000 3.994527 0.136871
77.000000 3.969717 0.131612
78.000000 3.933846 0.125241
79.000000 3.883152 0.118980
80.000000 3.813997 0.115427
81.000000 3.746693 0.115599
82.000000 3.694904 0.118832
83.000000 3.668545 0.123660
84.000000 3.698868 0.127203
85.000000 3.785508 0.128161
86.000000 3.884539 0.127924
87.000000 3.969474 0.129249
88.000000 4.024850 0.130023
89.000000 4.005775 0.128037
90.000000 3.968917 0.124798
91.000000 3.933902 0.122896
92.000000 3.900000 0.123376
93.000000 3.869528 0.124694
94.000000 3.841843 0.126481
95.000000 3.813867 0.128457
96.000000 3.789390 0.130370
97.000000 3.769740 0.131622
98.000000 3.752853 0.131211
99.000000 3.750420 0.128783
100.000000 3.743861 0.126468
101.000000 3.732429 0.125002
102.000000 3.730514 0.125509
103.000000 3.738411 0.128147
104.000000 3.766062 0.132213
105.000000 3.797762 0.136071
106.000000 3.822617 0.140497
107.000000 3.835793 0.145297
108.000000 3.847811 0.150978
109.000000 3.867718 0.157256
110.000000 3.900444 0.163722
111.000000 3.925352 0.168302
112.000000 3.913232 0.169892
113.000000 3.874529 0.170531
114.000000 3.823993 0.171281
115.000000 3.762023 0.174871
116.000000 3.678100 0.184233
117.000000 3.576798 0.197711
118.000000 3.471459 0.210168
119.000000 3.376902 0.215942
120.000000 3.281009 0.212669
121.000000 3.188368 0.204378
122.000000 3.127940 0.201825
123.000000 3.100654 0.210890
124.000000 3.120643 0.228996
125.000000 3.185041 0.253219
126.000000 3.303761 0.279751
127.000000 3.465986 0.298633
128.000000 3.643325 0.301597
129.000000 3.795866 0.290798
130.000000 3.922195 0.276429
131.000000 4.035863 0.267500
132.000000 4.142662 0.264936
133.000000 4.252093 0.262178
134.000000 4.365674 0.253638
135.000000 4.469765 0.236739
136.000000 4.558317 0.212350
137.000000 4.614439 0.183867
138.000000 4.648390 0.156753
139.000000 4.679365 0.136333
140.000000 4.692222 0.125443
141.000000 4.679667 0.122088
142.000000 4.650926 0.122111
143.000000 4.614851 0.120951
144.000000 4.569036 0.118994
145.000000 4.537996 0.117736
146.000000 4.514499 0.119825
147.000000 4.493050 0.126191
148.000000 4.467763 0.135282
149.000000 4.460674 0.143202
150.000000 4.458669 0.148859
151.000000 4.452286 0.150757
152.000000 4.450535 0.149272
153.000000 4.454451 0.146448
154.000000 4.465731 0.143404
155.000000 4.491915 0.140900
156.000000 4.515332 0.137231
157.000000 4.516833 0.130938
158.000000 4.526909 0.122225
159.000000 4.533816 0.114262
160.000000 4.525698 0.110321
161.000000 4.496535 0.111532
162.000000 4.475988 0.115821
163.000000 4.459312 0.119769
164.000000 4.422690 0.119559
165.000000 4.386921 0.117463
166.000000 4.366846 0.114694
167.000000 4.346071 0.114183
168.000000 4.331491 0.114980
169.000000 4.318345 0.116333
170.000000 4.297348 0.118178
171.000000 4.279855 0.120442
172.000000 4.264753 0.124731
173.000000 4.216004 0.131068
174.000000 4.155523 0.138196
175.000000 4.135628 0.143323
176.000000 4.141280 0.144799
177.000000 4.156850 0.141051
178.000000 4.212388 0.133606
179.000000 4.257361 0.124258
180.000000 4.269416 0.117044
181.000000 4.267981 0.115570
182.000000 4.275014 0.121317
183.000000 4.280950 0.132169
184.000000 4.243848 0.144084
185.000000 4.221907 0.150752
186.000000 4.237869 0.150332
187.000000 4.289734 0.145070
188.000000 4.312241 0.139766
189.000000 4.293637 0.137749
190.000000 4.237772 0.139197
191.000000 4.155352 0.142061
192.000000 4.065270 0.143816
193.000000 3.967758 0.144326
194.000000 3.871326 0.143063
195.000000 3.788816 0.141850
196.000000 3.729316 0.142317
197.000000 3.676241 0.145938
198.000000 3.612131 0.151378
199.000000 3.558332 0.157760
200.000000 3.526426 0.164627
201.000000 3.515752 0.171335
202.000000 3.530453 0.177008
203.000000 3.557391 0.180553
204.000000 3.598232 0.181066
205.000000 3.639384 0.179277
206.000000 3.663150 0.174262
207.000000 3.664744 0.166969
208.000000 3.654662 0.160040
209.000000 3.627175 0.154326
210.000000 3.569429 0.150224
211.000000 3.496245 0.148249
212.000000 3.447669 0.145824
213.000000 3.437056 0.145448
214.000000 3.450886 0.147881
215.000000 3.504331 0.153634
216.000000 3.597666 0.161198
217.000000 3.718384 0.168400
218.000000 3.845129 0.175156
219.000000 3.944913 0.179287
220.000000 4.021540 0.180865
221.000000 4.097352 0.179291
222.000000 4.163716 0.174487
223.000000 4.207035 0.168803
224.000000 4.236789 0.164850
225.000000 4.247831 0.164377
226.000000 4.237314 0.166715
227.000000 4.201838 0.170262
228.000000 4.147021 0.172677
229.000000 4.096180 0.172216
230.000000 4.062187 0.170873
231.000000 4.040621 0.170163
232.000000 4.027144 0.170474
233.000000 4.000574 0.172159
234.000000 3.929877 0.173879
235.000000 3.809502 0.173907
236.000000 3.656361 0.172437
237.000000 3.535885 0.171381
238.000000 3.451244 0.175893
239.000000 3.395315 0.186613
240.000000 3.394162 0.199805
241.000000 3.465881 0.211423
242.000000 3.601161 0.218541
243.000000 3.774626 0.219110
244.000000 3.958540 0.213836
245.000000 4.102899 0.204060
246.000000 4.199822 0.190285
247.000000 4.266978 0.176074
248.000000 4.317157 0.163147
249.000000 4.364257 0.152062
250.000000 4.414776 0.141929
251.000000 4.438372 0.132479
252.000000 4.446804 0.124021
253.000000 4.448573 0.116636
254.000000 4.417919 0.112417
255.000000 4.366789 0.110770
256.000000 4.327907 0.110152
257.000000 4.316782 0.110343
258.000000 4.316748 0.110920
259.000000 4.318971 0.112615
260.000000 4.286526 0.113572
261.000000 4.267911 0.115860
262.000000 4.285760 0.118274
263.000000 4.313464 0.118414
264.000000 4.347964 0.116764
265.000000 4.371953 0.113106
266.000000 4.360795 0.110638
267.000000 4.348630 0.108902
268.000000 4.362335 0.108670
269.000000 4.412971 0.109270
270.000000 4.457366 0.109638
271.000000 4.445987 0.110770
272.000000 4.379754 0.112308
273.000000 4.324018 0.114731
274.000000 4.289778 0.116533
275.000000 4.269407 0.119393
276.000000 4.238085 0.123056
277.000000 4.206046 0.127812
278.000000 4.187371 0.133483
279.000000 4.143259 0.138709
280.000000 4.069564 0.140444
281.000000 3.985688 0.138731
282.000000 3.884890 0.134169
283.000000 3.783822 0.127442
284.000000 3.725152 0.122374
285.000000 3.705142 0.122257
286.000000 3.711150 0.125938
287.000000 3.749797 0.131307
288.000000 3.822959 0.133581
289.000000 3.910108 0.133287
290.000000 4.005397 0.130716
291.000000 4.080032 0.128703
292.000000 4.109882 0.128037
293.000000 4.114270 0.129743
294.000000 4.123425 0.133172
295.000000 4.142023 0.137326
296.000000 4.150688 0.141540
297.000000 4.142222 0.144832
298.000000 4.120755 0.147417
299.000000 4.091150 0.149026
300.000000 4.065234 0.149597
301.000000 4.046866 0.148719
302.000000 4.030518 0.147985
303.000000 4.010591 0.147488
304.000000 3.985907 0.146577
305.000000 3.956456 0.145421
306.000000 3.926434 0.145104
307.000000 3.888245 0.145087
308.000000 3.842231 0.146526
309.000000 3.790249 0.147917
310.000000 3.737974 0.148800
311.000000 3.689382 0.149225
312.000000 3.645358 0.149280
313.000000 3.607487 0.148993
314.000000 3.576830 0.148994
315.000000 3.551607 0.149180
316.000000 3.532875 0.150305
317.000000 3.521156 0.153091
318.000000 3.515706 0.157532
319.000000 3.515013 0.163346
320.000000 3.518392 0.170344
