depth(m)	initial_age(kiloyear)
0.02	6.45
0.11	8.37
0.21	10.49
0.41	14.67
0.51	16.56
0.61	18.27
0.71	19.97
0.81	21.67
0.91	23.37
1.01	25.07
1.11	26.77
1.21	28.47
1.31	30.17
1.41	31.87
1.61	35.28
1.71	36.98
1.81	38.68
1.91	40.38
2.01	42.08
2.11	43.78
2.21	45.48
2.31	47.18
2.39	48.55
2.49	50.25
2.59	51.95
2.69	53.65
2.79	55.35
2.86	56.54
2.99	58.75
3.09	60.45
3.19	62.15
3.29	63.85
3.39	65.56
3.49	67.38
3.59	69.27
3.69	71.16
3.79	73.28
3.89	75.4
3.99	77.53
4.09	79.65
4.19	81.78
4.29	83.91
4.39	86.03
4.49	88.16
4.59	90.29
4.69	92.41
4.89	96.67
5.09	100.92
5.19	103.04
5.29	105.17
5.39	107.41
5.49	109.68
5.59	112.01
5.69	114.37
5.79	116.73
5.89	119.52
5.99	122.58
6.05	124.52
6.15	127.76
6.35	133.56
6.45	135.92
6.85	145.01
7.15	150.86
7.25	152.56
7.35	154.26
7.65	159.36
7.75	161.06
8.05	166.17
8.25	169.57
8.35	171.27
8.45	172.97
8.55	174.67
8.65	176.37
8.75	178.07
8.85	179.77
8.95	181.48
9.15	184.88
9.25	186.58
9.45	189.98
9.55	191.68
9.65	193.38
9.75	195.08
10.05	200.26
10.25	204.04
10.35	206.09
10.55	210.35
10.65	212.47
10.75	214.6
10.85	216.72
11.15	223.1
11.25	225.23
11.45	229.48
11.55	231.61
11.65	233.74
11.85	237.67
12.59	251.65
12.69	253.54
12.89	257.33
12.99	259.37
13.19	263.62
13.29	265.75
13.49	270.0
13.99	280.63
14.19	285.16
14.29	287.49
14.39	289.85
14.49	292.21
14.69	297.17
14.99	305.1
15.09	307.94
15.29	314.11
15.39	317.35
15.49	320.55
15.79	327.79
16.09	333.9
16.19	335.39
16.59	339.94
16.69	341.21
16.79	342.79
16.89	344.49
16.99	346.25
17.19	350.26
17.39	354.51
17.79	363.02
17.89	365.26
17.99	367.53
18.09	369.85
18.59	382.01
18.69	384.59
18.99	394.21
19.04	395.94
19.24	403.13
19.34	406.95
19.44	411.2
19.54	415.32
19.84	425.92
19.94	428.83
20.04	431.32
20.34	438.68
20.54	443.4
20.84	450.11
20.94	452.23
21.04	454.13
21.14	455.91
21.24	457.61
21.34	459.31
21.44	461.01
21.54	462.71
21.84	467.82
21.94	469.52
22.14	472.92
22.24	474.62
22.34	476.32
22.44	478.02
22.64	481.43
22.74	483.13
22.84	484.83
22.94	486.66
23.04	488.63
23.14	490.75
23.4	496.58
23.5	498.94
23.87	507.91
23.97	510.39
24.07	512.99
24.17	515.82
24.27	518.66
24.67	530.0
24.77	532.83
24.87	535.67
24.97	538.5
25.07	541.34
25.17	544.17
25.27	547.01
25.37	549.84
25.47	552.68
25.67	557.8
25.77	560.28
25.97	565.24
26.07	567.72
26.17	570.2
26.27	572.82
26.37	575.65
26.47	578.49
26.57	581.32
26.67	584.16
26.87	589.83
26.97	592.66
27.07	595.5
27.27	600.98
27.37	603.47
27.57	608.43
27.67	610.91
27.77	613.39
27.87	615.87
27.97	618.35
28.07	620.83
28.17	623.31
28.27	625.79
28.37	628.27
28.47	630.75
28.57	633.23
28.67	635.72
28.77	638.2
28.87	640.68
28.97	643.16
29.07	645.64
29.17	648.12
29.26	650.35
29.37	653.08
29.47	655.56
29.57	658.04
29.67	660.52
29.87	665.48
29.97	667.96
30.07	670.44
30.27	676.06
30.37	678.89
30.47	681.73
30.67	687.4
30.77	690.23
30.87	693.07
31.67	713.56
31.77	715.9
31.87	718.16
31.97	720.43
32.07	722.7
32.17	724.97
32.27	727.24
32.37	729.5
32.47	731.77
32.57	734.04
32.67	736.31
32.87	740.84
32.97	743.11
33.07	745.38
33.17	747.73
33.47	754.81
33.87	764.55
34.07	769.51
34.17	771.99
34.37	777.05
34.47	779.89
34.56	782.44
34.66	785.28
34.86	790.94
35.06	796.62
35.16	799.45
35.26	802.29
35.36	805.12
35.46	807.96
35.56	810.79
35.96	822.13
36.16	828.27
36.26	831.51
36.36	834.75
36.56	841.23
36.76	847.85
37.16	861.46
37.26	864.86
37.36	868.26
37.46	871.66
37.56	875.07
37.66	878.32
37.76	881.56
37.96	887.73
38.06	890.56
38.16	893.4
38.26	896.23
38.36	899.07
38.46	901.9
38.56	904.74
38.66	907.57
38.76	910.41
38.86	913.24
39.26	924.58
39.36	927.42
39.56	933.09
39.66	935.92
39.76	938.76
39.86	941.59
39.96	944.43
40.06	947.26
40.16	950.1
40.26	952.93
40.36	955.77
40.46	958.7
40.56	961.94
40.66	965.18
40.76	968.38
40.86	971.21
40.96	974.05
41.06	976.88
41.16	979.72
41.26	982.56
41.46	988.22
41.56	991.06
41.66	993.9
41.76	996.73
41.86	999.57
42.06	1005.23
42.16	1008.07
42.36	1013.75
42.46	1016.58
42.66	1022.54
42.86	1029.02
43.06	1035.5
43.16	1038.74
43.26	1041.98
43.36	1045.22
43.46	1048.47
43.56	1051.58
43.66	1054.41
43.96	1062.91
44.06	1065.75
44.16	1068.58
44.17	1068.87
44.27	1071.7
44.37	1074.54
44.57	1080.25
44.67	1083.49
44.77	1086.74
44.87	1089.98
44.97	1093.22
45.07	1096.46
45.17	1099.7
45.27	1102.93
45.37	1106.17
45.47	1109.41
45.57	1112.77
45.67	1116.17
45.77	1119.63
45.87	1123.18
45.97	1126.73
46.07	1130.27
46.27	1137.36
46.37	1140.9
46.47	1144.45
46.57	1147.99
46.67	1151.46
46.77	1154.86
46.87	1158.22
46.97	1161.46
47.07	1164.71
47.17	1167.9
47.27	1170.73
47.47	1176.4
47.57	1179.23
47.67	1182.07
47.77	1184.9
47.87	1187.74
47.97	1190.57
48.07	1193.41
48.17	1196.24
48.27	1199.07
48.37	1201.92
48.47	1204.75
48.57	1207.59
48.67	1210.42
48.77	1213.26
48.87	1216.09
48.97	1218.93
49.17	1224.6
49.27	1227.43
49.37	1230.26
49.47	1233.1
49.57	1235.93
49.67	1238.77
49.71	1239.91
49.77	1241.4
49.81	1242.4
49.91	1244.87
50.01	1247.35
50.11	1249.79
50.21	1252.15
50.31	1254.51
50.41	1256.81
50.51	1259.07
50.61	1261.34
50.71	1263.61
50.81	1265.88
50.91	1268.14
51.01	1270.41
51.11	1272.68
51.21	1274.95
51.31	1277.22
51.41	1279.49
51.51	1281.76
51.71	1286.29
51.81	1288.56
51.91	1290.83
52.01	1293.1
52.11	1295.36
52.21	1297.63
52.31	1299.9
52.41	1302.17
52.51	1304.43
52.61	1306.66
52.71	1308.78
52.81	1310.79
52.91	1312.64
53.01	1314.35
53.11	1316.05
53.31	1319.46
53.41	1321.16
53.61	1324.56
53.71	1326.26
53.81	1327.96
53.91	1329.66
54.01	1331.36
54.11	1333.06
54.21	1334.76
54.31	1336.46
54.41	1338.16
54.51	1339.86
54.61	1341.56
54.71	1343.27
54.81	1344.97
54.91	1346.67
55.01	1348.56
55.11	1350.6
55.21	1352.73
55.31	1354.98
55.41	1357.25
55.71	1364.62
55.91	1370.01
56.01	1373.25
56.11	1376.49
56.21	1379.73
56.31	1382.97
56.41	1386.21
56.61	1392.69
56.71	1395.93
56.75	1397.23
