depth(m)	initial_age(kiloyear)
23.87	507.91
23.97	510.39
24.07	512.99
24.17	515.82
24.27	518.66
24.67	530.0
24.77	532.83
24.87	535.67
24.97	538.5
25.07	541.34
25.17	544.17
25.27	547.01
25.37	549.84
25.47	552.68
25.67	557.8
25.77	560.28
25.97	565.24
26.07	567.72
26.17	570.2
26.27	572.82
26.37	575.65
26.47	578.49
26.57	581.32
26.67	584.16
26.87	589.83
26.97	592.66
27.07	595.5
27.27	600.98
27.37	603.47
27.57	608.43
27.67	610.91
27.77	613.39
27.87	615.87
27.97	618.35
28.07	620.83
28.17	623.31
28.27	625.79
28.37	628.27
28.47	630.75
28.57	633.23
28.67	635.72
28.77	638.2
28.87	640.68
28.97	643.16
29.07	645.64
29.17	648.12
29.26	650.35
29.37	653.08
29.47	655.56
29.57	658.04
29.67	660.52
29.87	665.48
29.97	667.96
30.07	670.44
30.27	676.06
30.37	678.89
30.47	681.73
30.67	687.4
30.77	690.23
30.87	693.07
31.67	713.56
31.77	715.9
31.87	718.16
31.97	720.43
32.07	722.7
32.17	724.97
32.27	727.24
32.37	729.5
32.47	731.77
32.57	734.04
32.67	736.31
32.87	740.84
32.97	743.11
33.07	745.38
33.17	747.73
33.47	754.81
33.87	764.55
34.07	769.51
34.17	771.99
34.37	777.05
34.47	779.89
34.56	782.44
34.66	785.28
34.86	790.94
35.06	796.62
35.16	799.45
35.26	802.29
35.36	805.12
35.46	807.96
35.56	810.79
35.96	822.13
36.16	828.27
36.26	831.51
36.36	834.75
36.56	841.23
36.76	847.85
37.16	861.46
37.26	864.86
37.36	868.26
37.46	871.66
37.56	875.07
37.66	878.32
37.76	881.56
37.96	887.73
38.06	890.56
38.16	893.4
38.26	896.23
38.36	899.07
38.46	901.9
38.56	904.74
38.66	907.57
38.76	910.41
38.86	913.24
39.26	924.58
39.36	927.42
39.56	933.09
39.66	935.92
39.76	938.76
39.86	941.59
39.96	944.43
40.06	947.26
40.16	950.1
40.26	952.93
40.36	955.77
40.46	958.7
40.56	961.94
40.66	965.18
40.76	968.38
40.86	971.21
40.96	974.05
41.06	976.88
41.16	979.72
41.26	982.56
41.46	988.22
41.56	991.06
41.66	993.9
41.76	996.73
41.86	999.57
42.06	1005.23
42.16	1008.07
42.36	1013.75
42.46	1016.58
42.66	1022.54
42.86	1029.02
43.06	1035.5
43.16	1038.74
43.26	1041.98
43.36	1045.22
43.46	1048.47
43.56	1051.58
43.66	1054.41
43.96	1062.91
44.06	1065.75
44.16	1068.58
44.17	1068.87
44.27	1071.7
44.37	1074.54
44.57	1080.25
44.67	1083.49
44.77	1086.74
44.87	1089.98
44.97	1093.22
45.07	1096.46
45.17	1099.7
45.27	1102.93
45.37	1106.17
45.47	1109.41
45.57	1112.77
45.67	1116.17
45.77	1119.63
45.87	1123.18
45.97	1126.73
46.07	1130.27
46.27	1137.36
46.37	1140.9
46.47	1144.45
46.57	1147.99
46.67	1151.46
46.77	1154.86
46.87	1158.22
46.97	1161.46
47.07	1164.71
47.17	1167.9
47.27	1170.73
47.47	1176.4
47.57	1179.23
47.67	1182.07
47.77	1184.9
47.87	1187.74
47.97	1190.57
48.07	1193.41
48.17	1196.24
48.27	1199.07
48.37	1201.92
48.47	1204.75
48.57	1207.59
48.67	1210.42
48.77	1213.26
48.87	1216.09
48.97	1218.93
49.17	1224.6
49.27	1227.43
49.37	1230.26
49.47	1233.1
49.57	1235.93
49.67	1238.77
49.71	1239.91
49.77	1241.4
49.81	1242.4
49.91	1244.87
50.01	1247.35
50.11	1249.79
50.21	1252.15
50.31	1254.51
50.41	1256.81
50.51	1259.07
50.61	1261.34
50.71	1263.61
50.81	1265.88
50.91	1268.14
51.01	1270.41
51.11	1272.68
51.21	1274.95
51.31	1277.22
51.41	1279.49
51.51	1281.76
51.71	1286.29
51.81	1288.56
51.91	1290.83
52.01	1293.1
52.11	1295.36
52.21	1297.63
52.31	1299.9
52.41	1302.17
52.51	1304.43
52.61	1306.66
52.71	1308.78
52.81	1310.79
52.91	1312.64
53.01	1314.35
53.11	1316.05
53.31	1319.46
53.41	1321.16
53.61	1324.56
53.71	1326.26
53.81	1327.96
53.91	1329.66
54.01	1331.36
54.11	1333.06
54.21	1334.76
54.31	1336.46
54.41	1338.16
54.51	1339.86
54.61	1341.56
54.71	1343.27
54.81	1344.97
54.91	1346.67
55.01	1348.56
55.11	1350.6
55.21	1352.73
55.31	1354.98
55.41	1357.25
55.71	1364.62
55.91	1370.01
56.01	1373.25
56.11	1376.49
56.21	1379.73
56.31	1382.97
56.41	1386.21
56.61	1392.69
56.71	1395.93
56.75	1397.23
56.85	1400.47
56.95	1403.71
57.05	1406.95
57.15	1410.19
57.25	1413.43
57.35	1416.67
57.55	1423.15
57.65	1426.39
57.75	1429.63
57.85	1432.87
57.95	1436.11
58.05	1439.35
58.15	1442.3
58.25	1444.78
58.35	1447.26
58.45	1449.74
58.55	1452.15
58.85	1459.15
58.95	1461.42
59.05	1463.6
59.15	1465.72
59.25	1467.66
59.35	1469.46
59.55	1472.79
59.65	1474.1
59.75	1475.23
60.75	1486.62
60.85	1488.11
60.95	1489.81
61.05	1491.51
61.35	1497.58
61.75	1506.79
61.85	1509.16
61.95	1511.52
62.35	1521.24
62.45	1523.72
62.55	1526.54
62.65	1529.78
62.75	1533.02
62.85	1536.25
63.25	1548.83
63.65	1560.17
63.75	1563.0
63.85	1565.84
63.95	1568.67
64.05	1571.51
64.15	1574.75
64.25	1577.99
64.35	1581.23
64.45	1584.47
64.74	1593.61
64.84	1596.45
64.85	1596.73
64.94	1599.14
64.95	1599.39
65.04	1601.62
65.24	1606.58
65.34	1609.06
65.64	1616.51
65.84	1621.47
66.04	1626.43
66.14	1628.91
66.74	1643.97
66.84	1647.21
67.04	1653.68
67.24	1660.17
67.44	1666.65
67.54	1669.89
67.64	1673.13
67.94	1681.79
68.24	1690.29
68.34	1693.13
68.84	1707.31
69.14	1715.82
70.44	1751.46
70.54	1753.94
70.64	1756.42
70.74	1758.9
70.94	1763.86
