Depth	d18O
0.02	4.45
0.07	3.59
0.12	4.18
0.17	4.69
0.22	4.29
0.27	5.22
0.32	5.1
0.37	4.79
0.42	4.54
0.47	4.7
0.52	4.6
0.57	4.62
0.62	4.55
0.67	4.71
0.72	4.58
0.77	4.35
0.82	4.33
0.87	4.23
0.92	4.35
0.97	4.33
1.07	4.03
1.12	4.17
1.17	3.79
1.22	3.93
1.27	4.22
1.32	3.57
1.37	4.33
1.5	5.03
1.57	5.09
1.67	5.0
1.72	4.8
1.77	4.74
1.82	4.64
1.87	4.86
1.92	4.82
1.97	4.78
2.07	4.83
2.12	3.93
2.17	3.74
2.22	4.78
2.27	4.17
2.32	4.82
2.37	4.5
2.42	4.68
2.47	4.15
2.57	4.92
2.62	4.69
2.67	4.75
2.72	4.6
2.77	4.13
2.82	4.43
2.87	4.43
2.92	4.17
3.02	3.89
3.07	3.93
3.13	3.71
3.17	3.78
3.22	3.72
3.27	3.69
3.32	4.45
3.37	4.52
3.42	4.43
3.47	3.8
3.57	4.47
3.62	4.61
3.67	4.53
3.72	4.41
3.77	4.1
3.82	4.19
3.87	3.91
3.92	4.03
3.97	4.01
4.07	3.54
4.12	3.41
4.17	3.45
4.22	3.54
4.27	3.77
4.32	4.05
4.37	3.98
4.42	4.26
4.5	4.52
4.57	5.06
4.62	5.38
4.67	4.97
4.72	4.71
4.77	4.91
4.82	4.07
4.87	4.06
4.97	4.24
5.02	4.08
5.17	4.07
5.22	4.34
5.27	4.95
5.57	4.49
5.62	4.36
5.67	4.34
5.72	4.08
5.77	4.06
5.82	3.83
5.87	3.82
5.92	4.41
5.97	4.37
6.02	4.29
6.07	4.47
6.12	4.29
6.17	4.3
6.22	4.97
6.27	4.35
6.32	4.65
6.37	4.43
6.47	4.4
6.52	4.78
6.57	4.9
6.67	4.64
6.72	4.0
6.77	4.25
6.82	3.88
6.87	4.45
6.92	4.54
7.02	4.38
7.07	3.8
7.17	4.36
7.22	4.65
7.27	4.98
7.32	4.76
7.37	4.59
7.42	5.23
7.47	4.84
7.52	4.58
7.57	4.63
7.67	5.06
7.72	4.9
7.77	5.05
7.82	4.72
7.87	4.1
7.92	4.76
7.97	4.8
8.07	4.84
8.12	4.6
8.17	4.48
8.22	4.46
8.27	4.2
8.32	4.03
8.36	4.43
