depth(m)	initial_age(kiloyear)
1.79	101.064
1.84	105.371
1.89	110.324
1.94	116.359
1.99	121.62
2.04	126.271
2.09	128.977
2.14	131.817
2.19	134.182
2.24	136.242
2.29	138.216
2.34	140.246
2.39	142.444
2.44	144.888
2.49	147.594
2.59	153.52
2.64	156.41
2.69	159.014
2.79	163.366
2.84	165.306
2.94	169.367
2.99	171.979
3.04	175.483
3.09	180.076
3.14	184.841
3.19	189.088
3.24	194.035
3.29	204.036
3.34	215.173
3.39	219.562
3.49	224.349
3.54	227.39
3.59	231.892
3.64	237.563
3.74	245.891
3.79	248.606
3.84	250.968
3.89	253.206
3.94	255.512
3.99	258.038
4.14	266.432
4.19	269.012
4.24	271.246
4.29	273.082
4.39	274.028
4.44	274.42
4.49	274.812
4.54	275.449
4.59	278.108
4.64	282.646
