Depth	d18O
0.01	3.39
0.11	3.23
0.15	3.49
0.21	3.5
0.24	3.91
0.31	4.24
0.34	4.01
0.35	4.6
0.41	4.22
0.44	4.13
0.51	4.7
0.54	4.83
0.6	4.73
0.64	4.85
0.7	4.6
0.74	4.54
0.81	4.43
0.84	4.53
0.91	4.34
0.94	4.5
1.01	4.31
1.11	4.45
1.14	4.32
1.21	4.31
1.24	4.56
1.31	4.22
1.34	4.43
1.41	4.21
1.44	4.45
1.54	4.44
1.61	4.33
1.71	4.47
1.75	4.34
1.81	4.49
1.84	4.68
1.91	4.63
1.94	4.62
2.01	3.9
2.06	3.88
2.11	3.98
2.14	3.98
2.21	3.8
2.24	3.95
2.41	3.72
2.51	3.89
2.54	3.83
2.61	3.97
2.63	3.85
2.71	3.66
2.75	3.15
2.81	3.07
2.84	3.21
2.91	3.32
3.01	3.71
3.05	4.38
3.11	4.5
3.14	4.8
3.21	4.79
3.24	4.72
3.31	4.67
3.34	4.8
3.41	4.62
3.44	4.91
3.51	4.59
3.54	4.71
3.61	4.62
3.64	4.78
3.71	4.6
3.74	4.7
3.84	4.51
3.91	4.51
3.94	4.41
4.04	4.41
4.14	4.44
4.21	4.46
4.24	4.36
4.31	4.31
4.34	3.76
4.41	3.5
4.43	3.63
4.51	3.58
4.61	3.54
4.64	3.82
4.71	3.85
4.75	3.68
4.81	3.7
4.85	3.92
4.91	3.67
4.94	4.19
5.01	4.0
5.04	4.26
5.11	4.07
5.14	3.97
5.21	4.01
5.24	4.0
5.31	3.62
5.34	3.65
5.41	3.43
5.44	3.83
5.51	3.71
5.55	4.01
5.61	3.54
5.65	4.63
5.71	4.15
5.75	4.62
5.81	4.21
5.85	4.49
5.91	4.35
5.94	4.62
6.01	4.01
6.05	4.39
6.11	4.02
6.21	3.82
6.31	3.97
6.33	4.09
6.41	4.1
6.45	4.14
