depth(m)	initial_age(kiloyear)
0.02	3.33
0.07	5.87
0.12	8.4
0.17	10.93
0.22	13.47
0.27	16.0
0.32	21.75
0.37	27.5
0.42	33.25
0.47	39.0
0.52	44.75
0.57	50.5
0.62	56.25
0.67	62.0
0.72	66.8
0.77	71.6
0.82	76.4
0.87	81.2
0.92	86.0
0.97	88.4
1.07	93.2
1.12	95.6
1.17	98.0
1.22	102.0
1.27	106.0
1.32	121.45
1.37	126.0
1.5	131.2
1.57	134.0
1.67	144.0
1.72	149.0
1.77	154.0
1.82	159.0
1.87	164.0
1.92	169.0
1.97	174.0
2.07	184.0
2.12	190.5
2.17	197.0
2.22	203.5
2.27	210.0
2.32	216.5
2.37	223.0
2.42	229.5
2.47	236.0
2.57	251.84
2.62	260.88
2.67	269.92
2.72	278.96
2.77	288.0
2.82	293.0
2.87	298.0
2.92	301.95
3.02	309.85
3.07	313.8
3.13	318.54
3.17	321.7
3.22	325.65
3.27	329.6
3.32	334.7
3.37	339.8
3.42	344.9
3.47	350.0
3.57	358.79
3.62	363.19
3.67	367.58
3.72	371.98
3.77	376.37
3.82	380.77
3.87	385.17
3.92	389.56
3.97	393.96
4.07	402.75
4.12	407.14
4.17	411.54
4.22	413.81
4.27	416.09
4.32	418.36
4.37	420.63
4.42	422.91
4.5	426.54
4.57	429.73
4.62	432.0
4.67	443.0
4.72	454.0
4.77	465.0
4.82	476.0
4.87	479.54
4.97	486.61
5.02	490.15
5.17	500.76
5.22	502.42
5.27	504.08
5.57	514.04
5.62	515.7
5.67	517.36
5.72	519.02
5.77	520.68
5.82	522.34
5.87	524.0
5.92	528.14
5.97	532.29
6.02	536.43
6.07	540.57
6.12	544.71
6.17	548.86
6.22	553.0
6.27	557.14
6.32	561.29
6.37	565.43
6.47	573.71
6.52	577.86
6.57	582.0
6.67	588.4
6.72	591.6
6.77	594.8
6.82	598.0
6.87	601.2
6.92	604.4
7.02	610.8
7.07	614.0
7.17	620.0
7.22	623.0
7.27	626.0
7.32	628.95
7.37	631.9
7.42	634.86
7.47	637.81
7.52	640.76
7.57	643.71
7.67	649.62
7.72	652.57
7.77	655.52
7.82	658.48
7.87	661.43
7.92	664.38
7.97	667.33
8.07	673.24
8.12	676.19
8.17	679.14
8.22	682.1
8.27	685.05
8.32	688.0
8.36	691.38
