depth(m)	initial_age(kiloyear)
8.52	704.88
8.57	709.1
8.62	713.32
8.67	717.54
8.72	721.77
8.77	725.99
8.82	730.21
8.87	734.43
8.97	742.87
9.02	747.09
9.07	751.31
9.17	756.6
9.22	759.25
9.27	761.89
9.32	764.54
9.37	767.18
9.42	769.83
9.57	777.76
9.62	780.41
9.67	783.05
9.72	785.7
9.77	788.34
9.82	790.99
9.87	795.05
10.02	807.23
10.12	815.35
10.17	819.41
10.22	823.47
10.27	827.52
10.32	831.58
10.37	835.64
10.42	839.7
10.47	843.76
10.52	847.82
10.57	851.88
10.62	855.94
10.67	860.0
10.72	863.82
10.77	867.64
10.82	871.47
10.87	875.29
10.92	879.11
10.97	882.93
11.02	886.75
11.07	890.57
11.12	894.4
11.17	898.22
11.22	902.04
11.27	905.86
11.32	909.68
11.42	917.33
11.52	924.97
11.57	928.79
11.67	936.43
11.72	940.26
11.77	944.08
11.82	947.9
11.87	951.72
11.92	955.23
11.97	958.74
12.02	962.25
12.07	965.75
12.17	972.77
12.22	976.28
12.32	983.3
12.37	986.8
12.42	990.31
12.52	997.33
12.57	1001.5
12.67	1009.7
12.77	1013.6
12.82	1015.6
12.87	1017.6
12.92	1019.6
13.02	1023.5
13.07	1025.5
13.12	1027.4
13.17	1029.4
13.23	1031.8
13.27	1033.4
13.32	1035.3
13.37	1037.3
13.42	1039.9
13.47	1042.5
13.57	1047.7
13.62	1050.3
13.67	1052.9
13.72	1055.5
13.77	1058.1
13.82	1060.7
13.92	1065.9
14.02	1073.6
14.07	1077.5
14.12	1081.3
14.17	1085.2
14.22	1089.1
14.27	1092.9
14.32	1096.8
14.35	1099.1
14.41	1103.7
