Depth	d18O
0.05	2.77
0.1	2.955
0.12	2.76
0.16	3.09
0.21	2.92
0.25	3.03
0.32	3.005
0.36	3.12
0.41	2.94
0.46	3.08
0.51	3.17
0.55	3.03
0.59	2.98
0.65	3.14
0.71	3.31
0.75	4.17
0.79	4.125
0.85	4.09
0.91	4.29
0.95	4.61
1.02	4.597
1.05	4.21
1.1	4.62
1.15	4.42
1.21	4.425
1.25	4.42
1.3	4.48
1.35	4.34
1.4	4.177
1.46	4.32
1.5	4.07
1.56	3.95
1.61	4.185
1.66	4.11
1.71	4.26
1.75	4.15
1.81	3.87
1.86	4.15
1.91	4.09
1.96	4.21
2.01	4.175
2.05	4.18
2.1	4.15
2.16	4.09
2.21	3.68
2.26	3.6
2.31	3.69
2.35	3.73
2.42	3.78
2.47	3.88
2.51	3.66
2.56	3.58
2.62	3.59
2.65	3.83
2.7	3.81
2.75	3.69
2.8	3.765
2.86	3.58
3.01	2.933
3.05	3.06
3.1	2.885
3.15	3.02
3.21	3.715
3.26	4.33
3.3	4.34
3.35	4.29
3.41	4.23
3.45	4.17
3.51	4.12
3.55	4.51
3.61	4.427
3.66	4.42
3.71	4.335
3.76	4.4
3.8	4.17
3.86	4.29
3.91	4.3
3.96	4.35
4.02	4.093
4.06	3.97
4.11	4.12
4.16	4.21
4.21	4.075
4.26	4.0
4.31	3.73
4.36	3.7
4.4	3.613
4.46	3.4
4.51	3.44
4.55	3.29
4.61	3.273
4.65	3.65
4.71	3.62
4.75	3.8
4.8	3.84
4.81	3.99
4.85	4.1
4.96	3.76
5.01	3.92
5.06	3.69
5.11	3.88
5.16	3.61
5.2	3.947
5.26	4.18
5.31	4.19
5.36	4.1
5.41	4.2
5.45	4.17
5.5	4.02
5.56	4.14
5.61	4.11
5.66	3.9
5.71	4.04
5.76	4.04
5.81	3.703
5.85	4.0
5.91	3.67
5.96	3.38
6.0	3.497
6.06	3.5
6.11	3.65
6.15	3.47
6.21	3.893
6.26	3.93
6.31	3.89
6.36	3.93
6.41	3.87
6.46	3.82
6.51	3.8
6.56	3.83
6.61	3.665
