Depth	d18O
0.077	3.07
0.121	3.46
0.129	4.08
0.152	4.06
0.175	4.39
0.199	4.62
0.246	4.77
0.269	4.5
0.292	4.52
0.316	4.81
0.339	4.36
0.362	4.44
0.386	4.35
0.456	4.43
0.479	4.13
0.503	4.48
0.573	3.89
0.586	4.43
0.648	4.29
0.744	4.18
0.817	4.49
0.841	4.63
0.865	4.37
0.889	4.18
0.913	4.4
0.937	4.34
0.961	4.45
0.985	4.4
1.009	4.58
1.033	4.2
1.057	4.48
1.106	4.27
1.13	3.98
1.154	4.08
1.202	4.02
1.226	4.11
1.274	3.84
1.322	4.13
1.37	4.07
1.419	4.04
1.467	3.93
1.515	4.04
1.563	4.23
1.587	4.08
1.635	3.93
1.683	4.59
1.73	4.65
1.778	4.97
1.85	4.47
1.898	4.34
1.969	4.91
2.065	4.32
2.161	4.77
2.256	4.28
2.352	4.14
2.4	4.41
2.447	4.29
2.495	4.47
2.539	3.63
2.608	3.72
2.657	3.78
2.706	3.91
2.755	3.87
2.804	4.1
2.853	4.26
2.902	4.38
3.0	4.54
3.098	4.37
3.196	4.61
3.293	4.38
3.391	4.36
3.44	4.11
3.538	4.03
3.635	3.99
