Depth	d18O
0.1	3.24
0.13	3.16
0.13	3.21
0.16	3.15
0.18	3.22
0.19	3.79
0.23	4.66
0.28	4.66
0.33	4.64
0.38	4.65
0.43	4.43
0.48	4.22
0.53	4.45
0.58	4.42
0.63	4.16
0.68	4.16
0.73	4.04
0.78	4.33
0.83	3.99
0.88	3.94
0.93	3.76
0.98	3.86
1.03	4.11
1.08	3.9
1.13	3.68
1.18	3.6
1.23	3.69
1.28	3.71
1.33	3.93
1.38	3.4
1.43	3.66
1.48	3.58
1.53	2.94
1.58	3.06
1.63	4.69
1.68	4.74
1.73	4.91
1.78	4.06
1.83	4.69
1.88	4.31
1.93	4.47
1.98	4.45
2.03	4.4
2.08	4.08
2.13	3.82
2.18	3.41
2.23	3.55
2.28	3.36
2.33	3.42
2.38	3.67
2.43	3.92
2.48	4.13
2.53	4.3
2.58	3.38
2.63	4.59
2.68	4.49
2.73	4.36
2.78	4.47
2.83	3.98
2.88	4.21
2.93	3.95
2.98	4.3
3.03	4.2
