Depth	d18O
0.1	3.06
0.12	3.35
0.13	3.26
0.16	3.23
0.17	3.52
0.19	3.72
0.22	4.3
0.22	4.5
0.27	3.75
0.32	4.96
0.37	4.47
0.42	4.44
0.47	4.41
0.52	4.37
0.57	4.42
0.62	4.23
0.67	4.36
0.72	4.36
0.77	4.27
0.82	4.49
0.87	4.06
0.92	3.71
0.97	3.8
1.02	3.88
1.07	4.06
1.12	3.92
1.17	3.54
1.22	3.76
1.27	3.82
1.32	3.92
1.37	4.06
1.42	4.04
1.47	3.55
1.52	3.09
1.57	3.16
1.62	4.53
1.67	4.34
1.72	4.82
1.77	4.71
1.82	4.76
1.87	4.57
1.92	4.61
1.97	4.32
2.02	4.35
2.07	4.2
2.12	4.37
2.17	4.3
2.22	4.04
2.27	3.89
2.32	3.52
2.37	3.67
2.42	3.81
2.47	3.8
2.52	3.49
2.57	4.01
2.62	4.56
2.67	4.06
2.72	4.58
2.77	4.46
2.82	4.64
2.87	4.67
2.92	3.92
2.97	3.8
3.02	4.08
3.07	3.99
3.12	4.16
3.17	4.1
3.22	3.65
3.27	3.64
3.32	3.66
3.37	3.26
3.42	3.19
3.47	3.16
3.52	4.47
3.57	4.23
3.62	4.95
3.67	4.76
3.72	4.62
3.77	4.66
3.82	4.53
3.87	4.42
3.92	4.36
3.97	4.23
4.02	4.24
4.07	4.29
4.12	4.05
4.17	3.94
4.22	3.9
4.27	3.32
4.32	3.35
4.37	3.22
4.42	3.12
4.47	3.41
4.52	3.63
4.57	4.2
4.62	4.17
4.67	5.0
4.72	5.07
4.77	5.05
4.82	4.61
4.87	4.67
4.92	4.66
4.97	4.56
5.02	4.42
5.07	3.53
5.12	3.57
5.17	3.7
5.22	3.84
5.27	3.91
5.32	3.95
5.37	4.13
5.42	4.21
5.47	4.15
5.52	4.15
5.57	3.79
5.62	3.93
5.67	4.2
5.72	4.56
5.77	3.95
5.82	3.88
5.87	5.06
5.92	4.71
5.97	4.54
6.02	4.37
6.07	4.47
6.12	4.16
6.17	4.35
6.22	3.52
6.27	3.65
6.32	3.85
6.37	4.52
6.42	4.42
6.47	4.38
6.52	3.86
6.57	3.72
6.62	4.77
6.67	4.47
6.72	4.65
6.77	4.42
6.82	4.28
6.87	4.28
6.92	4.18
6.97	4.48
